Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,47μ,
C10,0603,1,220n,
"C11, C12, C3, C4, C5",0603,5,100n,
"C2, C6",0603,2,1μ,
"C7, C8",0603,2,10μ,
C9,0603,1,22n,
D1,LED_D3.0mm,1,LED,
D2,CUHS20F60,1,D2,
J1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Solenoid_{Stroke},
J2,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Solenoid_{Chip},
J3,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Drribler_{Front},
J4,PinSocket_2x05_P2.54mm_Vertical,1,Conn_Relay,
J6,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Voltmeter,
"JP1, JP3",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,2,_{ON},
"JP2, JP4",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,2,_{OFF},
L1,SRC1317,1,33u,
Q1,TSOT-23,1,BSS138,
Q2,TO-252-2,1,TJ15S06M3L,
Q3,NJL7502L,1,Q_Photo_CE,
"Q4, Q5",TO-252-2,2,MTB010N06RJ3,
R1,0603,1,100,
R10,0603,1,2.49k,
"R11, R12",0603,2,100k,
"R13, R2, R3, R4, R5, R6",0603,6,10k,
R14,0603,1,NP,
R17,0603,1,20k,
R7,0603,1,1k,
R8,0603,1,75,
R9,0603,1,36k,
"U1, U4, U5, U7, U8",SOT-23-5_HandSoldering,5,NOT,
"U10, U2, U9",SO-5-6_4.55x3.7mm_P1.27mm,3,TLP2361,
"U11, U12",SOT-23-5_HandSoldering,2,AND,
U3,TO-263-5_TabPin3,1,XL6009E1,
U6,HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.66x2.46mm,1,DRV8874,
