Designator,Mid X,Mid Y,Rotation,Layer
C1,107.45,-73.549999,180.0,bottom
C10,82.51787,-72.408724,315.0,bottom
C11,113.5,-78.149995,0.0,bottom
C12,86.499998,-78.149997,0.0,bottom
C2,106.5,-76.349996,270.0,bottom
C3,115.862854,-84.281048,225.0,bottom
C4,84.137144,-84.281051,135.0,bottom
C5,107.285496,-90.749997,90.0,bottom
C6,96.499998,-70.249997,0.0,bottom
C7,110.000001,-79.999996,270.0,bottom
C8,92.000001,-79.999998,270.0,bottom
C9,84.992742,-69.933849,315.0,bottom
D1,74.165001,-44.18651,90.0,top
D2,100.0,-70.499998,270.0,top
D3,110.000001,-91.999999,135.0,top
D4,89.999999,-92.000001,45.0,top
J1,124.21731952351682,-76.66904447648318,225.0,top
J2,75.78267452351682,-76.66904552351681,135.0,top
J3,69.41871352351681,-70.30508252351682,135.0,top
J4,99.998996,-96.161998,270.0,bottom
J6,130.58128052351682,-70.30508247648318,225.0,top
JP1,102.539999,-91.363995,90.0,top
JP2,105.079998,-91.363997,90.0,top
JP3,97.459999,-91.363998,90.0,top
JP4,94.919999,-91.363999,90.0,top
L1,120.000001,-65.5,135.0,top
Q1,103.85714,-81.499998,180.0,bottom
Q2,98.999999,-75.349995,0.0,bottom
Q3,125.834999,-44.18651,270.0,top
Q4,117.305351,-82.838551,45.0,top
Q5,82.694644,-82.838553,135.0,top
R1,105.857138,-86.749999,90.0,bottom
R10,75.270023,-65.160879,135.0,bottom
R11,107.999999,-79.999996,90.0,bottom
R12,89.999999,-79.999997,90.0,bottom
R13,76.507459,-61.095017,315.0,bottom
R15,113.034427,-87.109476,225.0,bottom
R16,86.96557,-87.109477,315.0,bottom
R17,73.855808,-63.746666,315.0,bottom
R2,103.857141,-86.749997,90.0,bottom
R3,101.857139,-86.749996,90.0,bottom
R4,125.834998,-49.749999,270.0,bottom
R5,114.448641,-85.695263,225.0,bottom
R6,85.551357,-85.695265,135.0,bottom
R7,103.499997,-70.249999,180.0,bottom
R8,74.164999,-49.749999,270.0,bottom
R9,99.999998,-70.249999,0.0,bottom
U1,92.999999,-90.749996,0.0,bottom
U10,86.499999,-75.0,270.0,top
U11,109.0,-75.0,270.0,top
U12,91.0,-75.0,270.0,top
U2,99.999998,-90.749997,180.0,bottom
U3,100.0,-78.999997,90.0,top
U4,108.999998,-69.999998,270.0,top
U5,90.999998,-69.999998,270.0,top
U6,79.866216,-67.282201,225.0,top
U7,108.999999,-79.999998,270.0,top
U8,90.999998,-79.999997,270.0,top
U9,113.499999,-74.999998,270.0,top
