Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C16, C18, C2, C28, C3, C31, C32, C33, C34, C35, C36, C37, C38, C4, C5, C6, C7, C8, C9",0805,26,100n,
"C17, C19, C29, C30",0603,4,22p,
C20,1206,1,100μ,
"C21, C22, C26, C27",0805,4,C,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D37, D38, D39, D4, D40, D5, D6, D7, D8, D9",LED_D3.0mm,36,LED_Small,
D41,0603,1,LED1,
D42,0603,1,LED2,
D43,TSOT-23,1,~,
D44,0603,1,USB,
J1,AMASS_XT30U-M_1x02_P5.0mm_Vertical,1,Conn_01x02_Pin,
J2,Conn_01x02_Wire_Only,1,Conn_01x02_Pin,
J3,PinHeader_2x03_P2.54mm_Vertical,1,ICSP,
J4,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,1,USB_C_Receptacle_USB2.0_16P,
"Q1, Q10, Q11, Q12, Q13, Q14, Q15, Q16, Q17, Q18, Q19, Q2, Q20, Q21, Q22, Q23, Q24, Q25, Q26, Q27, Q28, Q29, Q3, Q30, Q31, Q32, Q37, Q38, Q39, Q4, Q40, Q5, Q6, Q7, Q8, Q9",NJL7502L,36,Q_Photo_NPN_CE,
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R2, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R3, R30, R31, R32, R38, R4, R40, R5, R6, R7, R8, R81, R9",0805,35,10k,
"R41, R42, R43, R44, R45, R46, R47, R48, R49, R50, R51, R52, R53, R54, R55, R56, R57, R58, R59, R60, R61, R62, R63, R64, R65, R66, R67, R68, R69, R70, R71, R72, R77, R78, R79, R80",0805,36,75,
"R82, R89",0805,2,1M,
"R83, R84, R87, R88",0805,4,R,
"R85, R86, R92",0805,3,330,
"R90, R91",0805,2,5.1k,
R93,0805,1,4.7k,
SW1,TVBP06-B043C,1,SW_Push,
SW2,SS12D01G4,1,SW_SPDT,
"U1, U10, U11, U12, U13, U14, U15, U16, U2, U3, U4, U5, U6, U7, U8, U9",SOIC-8_3.9x4.9mm_P1.27mm,16,LM393DR,
U17,TQFP-100_14x14mm_P0.5mm,1,ATmega2560-16A,
U18,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340G,
Y1,Crystal_SMD_SeikoEpson_FA238-4Pin_3.2x2.5mm,1,16MHz,
Y2,Crystal_SMD_SeikoEpson_FA238V-4Pin_3.2x2.5mm,1,12MHz,
