Designator,Mid X,Mid Y,Rotation,Layer
C1,5.440033,55.232594,174.375,top
C10,-26.162448,-48.946795,331.875,top
C11,-42.902009,-35.208993,309.375,top
C12,-53.110114,-16.110951,286.875,top
C13,-55.232685,5.439797,264.375,top
C14,-48.946557,26.162358,241.875,top
C15,-35.208761,42.901919,219.375,top
C16,-16.110717,53.110025,196.875,top
C17,-3.246403,20.25,270.0,top
C18,77.847741,10.110363,277.4,top
C19,-9.246403,20.25,90.0,top
C2,26.162591,48.946472,151.875,top
C20,51.501555,-9.1e-05,90.0,top
C21,20.151709,0.353256,225.0,top
C22,16.96973,3.535237,225.0,top
C23,41.5,0.0,270.0,top
C24,-72.75,0.0,270.0,top
C26,17.32328,-2.475169,225.0,top
C27,14.1413,0.70681,225.0,top
C28,9.722437,-5.833562,315.0,top
C29,68.001556,1.24991,0.0,top
C3,42.902152,35.208669,129.375,top
C30,68.001556,-1.250091,0.0,top
C31,84.001555,1.74991,270.0,top
C32,73.499164,-0.000296,90.0,top
C33,78.751555,3.499909,0.0,top
C34,7.976005,6.208004,135.0,top
C35,11.25191,-3.120268,225.0,top
C36,4.534394,-9.837784,45.0,top
C37,-7.716233,-6.655802,315.0,top
C38,-4.887808,9.483908,225.0,top
C4,53.110256,16.11063,106.875,top
C5,55.232826,-5.440118,84.375,top
C6,48.946706,-26.162681,61.875,top
C7,35.208903,-42.902242,39.375,top
C8,16.110861,-53.110348,16.875,top
C9,-5.439884,-55.232918,354.375,top
D1,-0.000273,57.329164,270.0,bottom
D10,56.22748749879757,-11.184564271824797,11.25,bottom
D11,52.96512553490677,-21.9391463474593,22.5,bottom
D12,47.66731897941561,-31.85062552816573,33.75,bottom
D13,40.53767809499986,-40.53811809499987,45.0,bottom
D14,31.850197191104954,-47.66775386827514,56.25,bottom
D15,21.93870073433337,-52.96555045251456,67.5,bottom
D16,11.184119172808073,-56.2279224934639,78.75,bottom
D17,-0.000275,-57.329491,90.0,bottom
D18,-11.184670271824798,-56.22792449879757,101.25,bottom
D19,-21.939256347459303,-52.96555853490677,112.5,bottom
D2,11.184125271824797,56.227601498797576,281.25,bottom
D20,-31.850744528165723,-47.66775697941561,123.75,bottom
D21,-40.53823009499987,-40.53812309499987,135.0,bottom
D22,-47.66787186827515,-31.85063419110495,146.25,bottom
D23,-52.96566345251457,-21.93914873433337,157.5,bottom
D24,-56.2280314934639,-11.184550172808073,168.75,bottom
D25,-57.329611,-0.000158,180.0,bottom
D26,-56.22803649879757,11.184237271824797,191.25,bottom
D27,-52.96566053490677,21.938824347459303,202.5,bottom
D28,-47.66787297941561,31.850306528165728,213.75,bottom
D29,-40.53823009499987,40.53780009499987,225.0,bottom
D3,21.9387083474593,52.965233534906766,292.5,bottom
D30,-31.85074519110495,47.66743486827515,236.25,bottom
D31,-21.93925273433337,52.96523645251457,247.5,bottom
D32,-11.184664172808073,56.2276014934639,258.75,bottom
D37,67.74129883199512,5.926426949048548,355.0,bottom
D38,67.74130263485183,-5.9267534643724,5.0,bottom
D39,-67.74117599489071,5.92642821812638,185.0,bottom
D4,31.85019052816573,47.66743097941561,303.75,bottom
D40,-67.74117691154026,-5.9267511271653355,175.0,bottom
D41,-1.248445,-14.000091,270.0,bottom
D42,1.251555,-14.000091,270.0,bottom
D43,77.499859,-0.000161,90.0,top
D44,83.147435,-4.244263,352.6,top
D5,40.53768309499986,40.53779909499986,315.0,bottom
D6,47.667318868275146,31.850303191104953,326.25,bottom
D7,52.96511745251457,21.93882673433337,337.5,bottom
D8,56.227484493463905,11.184231172808074,348.75,bottom
D9,57.329052,-0.000165,0.0,bottom
J1,48.068151,-17.394564,90.0,top
J2,-44.499928,-12.000161,180.0,top
J3,16.003597,10.495003,90.0,top
J4,81.140623,-10.601397,82.6,top
Q1,-0.000277,63.329166,270.0,bottom
Q10,62.112195,-12.355101,11.25,bottom
Q11,58.508397,-24.235243,22.5,bottom
Q12,52.656138,-35.18405,33.75,bottom
Q13,44.780318,-44.780751,45.0,bottom
Q14,35.183613,-52.656573,56.25,bottom
Q15,24.234806,-58.508831,67.5,bottom
Q16,12.354661,-62.112634,78.75,bottom
Q17,-0.000269,-63.32949,90.0,bottom
