Designator,Mid X,Mid Y,Rotation,Layer
BZ1,99.822,-123.998,270.0,top
C1,99.822,-103.378,0.0,top
C2,81.072,-118.962797,270.0,top
D1,84.822,-125.068,0.0,top
J1,113.436268,-92.842014,180.0,bottom
J2,113.501999,-113.138,90.0,top
Q1,113.502,-115.138,0.0,bottom
Q2,113.502,-111.138,0.0,bottom
R1,112.014,-128.524,180.0,top
R2,112.014,-121.412,180.0,top
R3,112.014,-126.238,180.0,top
R4,112.013999,-123.698,180.0,top
R5,99.822,-108.458001,180.0,top
R6,99.822,-116.318,0.0,top
R7,99.822,-110.998,180.0,top
R8,83.322,-118.925298,90.0,top
R9,84.822,-127.068,0.0,top
SW1,77.822,-121.262798,270.0,top
U1,99.822,-99.568,180.0,top
U2,99.822,-107.188,0.0,top
