Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C5, C6",0603,4,22n,
"C10, C11, C12, C13, C9",0603,5,100n,
C14,1206,1,100μ,
"C3, C4, C7, C8",0603,4,220n,
D1,0603,1,MTR_PWR,
D2,0603,1,LGC_PWR,
J1,AMASS_XT30PW-F_1x02_P2.50mm_Horizontal,1,VIN-motor,
J2,PinSocket_1x03_P2.54mm_Vertical,1,Conn_Ball_Catch,
J3,PinSocket_2x08_P2.54mm_Horizontal,1,Conn_relay,
"R1, R10, R2, R9",0603,4,10k,
"R11, R13, R3, R5",0603,4,NP,
"R12, R14, R4, R6",0603,4,20k,
"R15, R16, R17, R7, R8",0603,5,2.49k,
R18,0603,1,330,
"U1, U2, U3, U4",HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.66x2.46mm,4,~,
