Designator,Mid X,Mid Y,Rotation,Layer
C1,121.156894,-80.227704,65.0,bottom
C10,112.085311,-81.089933,76.0,bottom
C11,100.710106,-82.790061,87.0,bottom
C12,89.207187,-82.286628,98.0,bottom
C13,86.074555,-70.622288,0.0,bottom
C14,86.062722,-68.372285,0.0,bottom
C2,109.779584,-83.674515,76.0,bottom
C3,119.508686,-76.6931,65.0,bottom
C4,108.836091,-79.890358,76.0,bottom
C5,97.953586,-84.887199,87.0,bottom
C6,86.101153,-83.819267,98.0,bottom
C7,97.749474,-80.992544,87.0,bottom
C8,86.64393,-79.957223,98.0,bottom
C9,122.927096,-77.250658,65.0,bottom
D1,68.574557,-74.404555,0.0,top
D2,68.574556,-76.404554,0.0,top
J1,86.062731,-72.362997,0.0,top
J2,72.574552,-75.404554,0.0,top
J3,106.89,-71.73,90.0,top
R1,126.345505,-77.808215,65.0,bottom
R10,91.770437,-84.616036,98.0,bottom
R12,103.466634,-80.692919,87.0,bottom
R14,92.313217,-80.753987,98.0,bottom
R15,105.713539,-80.575169,87.0,bottom
R16,94.541309,-81.067126,98.0,bottom
R17,68.574557,-74.404555,180.0,bottom
R18,68.574556,-76.404554,180.0,bottom
R2,115.334526,-82.289514,76.0,bottom
R4,124.697302,-74.27361,65.0,bottom
R6,114.391037,-78.505358,76.0,bottom
R7,126.736486,-73.322723,65.0,bottom
R8,116.57419,-77.96103,76.0,bottom
R9,103.670738,-84.587579,87.0,bottom
U1,122.927096,-77.250658,115.0,top
U2,112.085311,-81.089933,104.0,top
U3,100.710106,-82.790061,93.0,top
U4,89.207187,-82.286628,82.0,top
