Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C3, C4, C5, C6, C7, C8, C9",0805,19,100n,
"D1, D10, D11, D12, D13, D14, D15, D16, D2, D3, D4, D5, D6, D7, D8, D9",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,16,WS2812B,
J1,AFC01-S12FCA-00,1,Conn_Sub,
"J2, J3",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,2,Conn_01x02_Pin,
P1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,ESP32C3_{1},
P10,USB_Type-C_Vertical_ C6332304,1,UnitV3,
P11,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,UnitV4,
P12,USB_Type-C_Vertical_ C6332304,1,UnitV4,
P2,USB_Type-C_Vertical_ C6332304,1,ESP32C3_{1},
P3,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,ESP32C3_{2},
P4,USB_Type-C_Vertical_ C6332304,1,ESP32C3_{2},
P5,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,UnitV1,
P6,USB_Type-C_Vertical_ C6332304,1,UnitV1,
P7,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,UnitV2,
P8,USB_Type-C_Vertical_ C6332304,1,UnitV2,
P9,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,UnitV3,
"Q1, Q2, Q3",TSOT-23,3,BSS138,
"R1, R2",0805,2,1k,
"R10, R9",0805,2,500,
"R3, R5, R7",0805,3,10k,
"R4, R6, R8",0805,3,330,
"SW1, SW2, SW4",ST-12-401FC-G,3,SW_SPST_LED,
U1,SSD1306_display_module,1,SSD1306,
U2,Aexit_0-50_Voltmeter,1,Aexit_0-50_Voltmeter,
"U3, U4, U5",SOT-23-5_HandSoldering,3,74AHC1G04,
