Designator,Mid X,Mid Y,Rotation,Layer
C1,0.0,30.6035,180.0,bottom
C10,-11.711452,-28.273947,22.5,bottom
C11,-21.639942,-21.639942,45.0,bottom
C12,-28.273947,-11.711452,67.5,bottom
C13,-30.6035,0.0,90.0,bottom
C14,-28.273947,11.711452,112.5,bottom
C15,-21.639942,21.639942,135.0,bottom
C16,-11.711452,28.273947,157.5,bottom
C17,-10.715953,-42.5,0.0,bottom
C18,5.715953,-42.5,0.0,bottom
C19,45.5,-2.5,270.0,bottom
C2,11.711452,28.273947,202.5,bottom
C3,21.639942,21.639942,225.0,bottom
C4,28.273947,11.711452,247.5,bottom
C5,30.6035,0.0,270.0,bottom
C6,32.0,-8.0,292.5,bottom
C7,12.0,-33.0,315.0,bottom
C8,8.0,-29.5,337.5,bottom
C9,0.0,-30.6035,0.0,bottom
D1,0.0,30.6035,0.0,top
D10,-11.711452,-28.273947,157.5,top
D11,-21.639942,-21.639942,135.0,top
D12,-28.273947,-11.711452,112.5,top
D13,-30.6035,0.0,90.0,top
D14,-28.273947,11.711452,67.5,top
D15,-21.639942,21.639942,45.0,top
D16,-11.711452,28.273947,22.5,top
D2,11.711452,28.273947,337.5,top
D3,21.639942,21.639942,315.0,top
D4,28.273947,11.711452,292.5,top
D5,30.6035,0.0,270.0,top
D6,28.273947,-11.711452,247.5,top
D7,21.639942,-21.639942,225.0,top
D8,11.711452,-28.273947,202.5,top
D9,0.0,-30.6035,180.0,top
J1,38.0,21.0,0.0,bottom
J2,-30.25,39.0,180.0,bottom
J3,-38.25,32.0,180.0,bottom
P1,-40.802445,-33.362252,309.0,top
P10,18.5,4.41,225.0,bottom
P11,49.61151,-17.79154,70.0,top
P12,4.15,18.21,45.0,bottom
P2,-12.01,-12.1,225.0,bottom
P3,43.316255,-30.025713,55.0,top
P4,11.57,11.62,45.0,bottom
P5,-48.046921,-21.66501,294.0,top
P6,-18.22,-4.18,225.0,bottom
P7,-30.77735,-42.78591,324.0,top
P8,-4.13,-18.24,225.0,bottom
P9,34.06927,-40.214001,40.0,top
Q1,-7.1225,-45.0,270.0,bottom
Q2,9.309406,-45.0,270.0,bottom
Q3,48.0,1.093453,180.0,bottom
R1,-39.0,-2.0,0.0,bottom
R10,-17.76,26.29,326.25,bottom
R2,-39.0,1.0,0.0,bottom
R3,-10.715953,-40.5,180.0,bottom
R4,-10.715953,-44.5,180.0,bottom
R5,5.715953,-40.5,180.0,bottom
R6,5.715953,-44.5,180.0,bottom
R7,43.5,-2.5,90.0,bottom
R8,47.5,-2.5,90.0,bottom
R9,30.36,21.42,270.0,bottom
SW1,-8.215953,-44.0,0.0,top
SW2,8.215953,-44.0,0.0,top
SW4,47.0,0.0,90.0,top
U1,-35.28,0.0,270.0,top
U2,-2.2,44.5,0.0,top
U3,-7.1225,-40.32,270.0,bottom
U4,9.309406,-40.32,270.0,bottom
U5,43.32,1.093453,180.0,bottom
