Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,PKM13EPYH4000-A0,1,Buzzer,
C1,CP_Radial_D10.0mm_P5.00mm,1,1000μ,
"C10, C11, C13, C5, C8",0805,5,10μ,
"C12, C2, C3",0805,3,100n,
"C6, C7, C9",0805,3,22μ,
F1,MF61NR_FUC-04,1,10A,
J1,Conn_01x02_Wire_Only,1,VIN,
J2,AMASS_XT30PW-F_1x02_P2.50mm_Horizontal,1,+5V_{Line},
J3,AMASS_XT30PW-F_1x02_P2.50mm_Horizontal,1,Power,
J4,AMASS_XT30PW-F_1x02_P2.50mm_Horizontal,1,Logic,
J5,AMASS_XT30PW-F_1x02_P2.50mm_Horizontal,1,Sub_{Power},
J6,PinHeader_1x02_P2.54mm_Horizontal,1,Sub_{Signal},
J7,PinHeader_1x05_P1.00mm_Vertical,1,ICSP_{PIC12F683},
J8,Conn_01x02_Wire_Only_SMD,1,ESC,
Q1,TSOT-23,1,BSS138,
Q2,TO-252-2,1,TJ60S04M3L,
"R10, R8",0805,2,1k,
"R11, R9",0805,2,330,
"R12, R13, R17",0805,3,1.2k,
R14,0805,1,30k,
"R15, R19, R20, R21",0805,4,10k,
R18,0805,1,100,
"R4, R5",0805,2,20k,
"R6, R7",0805,2,10,
"SW1, SW2",2MS1-T1-B4-M2-Q-E,2,SW_SPDT,
SW4,DS-850K-S-ON-K,1,Locker_SW,
"U1, U2",OKL-T6-W12N-C,2,OKL-T/6-W12N-C,
U3,TO-252-2,1,AZ1084-3.3,
U5,SOIC-8_3.9x4.9mm_P1.27mm,1,PIC12F683,
U6,SOT-223-3_TabPin2,1,LM1117MP-3.3,
