Designator,Mid X,Mid Y,Rotation,Layer
BZ1,12.589096,6.755984,270.0,bottom
C1,-16.34206813292354,-5.522650867076458,315.0,top
C10,-29.5,16.0,0.0,bottom
C11,-29.5,14.0,0.0,bottom
C12,18.0,17.0,270.0,bottom
C13,9.5,15.0,90.0,bottom
C2,1.0,17.5,270.0,bottom
C3,-7.5,17.5,270.0,bottom
C5,-4.5,5.0,90.0,bottom
C6,-29.5,10.0,180.0,bottom
C7,-29.5,12.0,180.0,bottom
C8,-0.5,-10.0725,0.0,bottom
C9,10.5,-10.0,90.0,bottom
F1,22.589696,6.755984,270.0,top
J1,22.589696,6.755984,270.0,bottom
J2,-13.760875,-18.676506,180.0,top
J3,12.239126,-18.676506,180.0,top
J4,-0.759732,-18.676505,180.0,bottom
J5,-16.410304,5.876502,0.0,bottom
J6,-34.950304,11.830466,90.0,bottom
J7,13.999999,21.0,90.0,top
J8,16.0,-8.5,90.0,bottom
Q1,-6.5,10.5,270.0,top
Q2,-6.5,-6.0,270.0,bottom
R10,-25.5,10.0,180.0,bottom
R11,-25.5,12.0,180.0,bottom
R12,-29.5,18.0,0.0,bottom
R13,-29.5,20.0,0.0,bottom
R14,1.0,3.5,180.0,bottom
R15,4.5,3.5,180.0,bottom
R17,18.0,13.5,90.0,bottom
R18,-4.5,8.5,270.0,bottom
R19,-6.5,8.5,270.0,bottom
R20,-6.5,2.0,180.0,bottom
R21,9.5,19.0,270.0,bottom
R4,-36.5,-7.5,0.0,bottom
R5,-29.5,-7.5,180.0,bottom
R6,-26.5,18.0,270.0,bottom
R7,-25.5,14.0,180.0,bottom
R8,-23.5,17.0,180.0,bottom
R9,-23.5,19.0,0.0,bottom
SW1,4.25,17.5,270.0,top
SW2,-4.25,17.5,270.0,top
SW4,3.0,0.0,180.0,top
U1,-31.310904,0.892598,0.0,top
U2,-31.310904,0.892498,180.0,bottom
U3,4.5,-10.0,180.0,bottom
U5,14.0,15.0,0.0,top
U6,1.25,8.25,180.0,bottom
