Designator,Footprint,Quantity,Value,LCSC Part #
J1,PinHeader_1x03_P2.54mm_Vertical,1,Dribbler_{Back},
J10,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,1,MD_{Power},
J11,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Motor1,
J12,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Motor2,
J13,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Motor3,
J14,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Motor4,
J15,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Voltmeter,
J2,PinSocket_2x05_P2.54mm_Vertical,1,Kicker-Board,
J3,PinSocket_2x08_P2.54mm_Horizontal,1,MD_{Signal},
J4,PinSocket_2x09_P2.54mm_Vertical,1,Main-Board,
J5,AMASS_XT30U-M_1x02_P5.0mm_Vertical,1,Power_{5V},
J6,AMASS_XT30U-M_1x02_P5.0mm_Vertical,1,Power_{VCC},
J7,AMASS_XT30U-M_1x02_P5.0mm_Vertical,1,Power_{Logic},
J8,AMASS_XT30U-M_1x02_P5.0mm_Vertical,1,Line_{Power},
J9,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Line_{UART},
