Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C16, C19, C20, C23, C24, C26, C31, C32, C35, C36, C45, C46, C6, C7",0805,19,10μ,
"C14, C15, C2, C21, C22, C27, C28, C3, C33, C34, C37, C38, C43, C44, C8, C9",0805,16,10n,
"C17, C18, C29, C30, C39, C4, C40, C5",0805,8,1n,
C25,0805,1,10u,
"C41, C42, C47, C48",0805,4,0.33μ,
"D1, D10, D2, D5, D6, D7, D8, D9",LED_D3.0mm,8,IRLED,
D3,0603,1,5V_{PWR},
D4,0603,1,3.3V_{PWR},
J1,AFC01-S12FCA-00,1,Conn_NeoPixel,
J2,PinSocket_1x02_P2.54mm_Vertical,1,Conn_01x02_Socket,
J3,AMASS_XT30U-M_1x02_P5.0mm_Vertical,1,Conn_Power,
J4,AFC01-S18FCA-00,1,Conn_Main,
"Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8",SOT-23,8,BSS138,
"R1, R11, R12, R2, R23, R24, R33, R34",0805,8,18k,
"R10, R21, R22, R31, R32, R43, R44, R9",0805,8,1k,
"R13, R14, R25, R26, R3, R37, R38, R4",0805,8,1.5k,
"R15, R16",0805,2,330,
"R17, R18, R27, R28, R39, R40, R5, R6",0805,8,47,
"R19, R20, R29, R30, R41, R42, R7, R8",0805,8,100,
"R35, R36, R45, R46",0805,4,39k,
"R47, R48",0805,2,10k,
"U1, U10, U3, U6, U8",NS-Tech_Grove_1x04_P2mm_Vertical,5,~,
"U11, U14, U15, U2, U7",SOT-223-3_TabPin2,5,LM1117GS-3.3,
"U12, U13, U18, U19, U22, U23, U4, U5",SOIC-8_3.9x4.9mm_P1.27mm,8,NE555DR,
"U16, U17",XIAO-ESP32-C3-DIP,2,~,
"U20, U21, U24, U25",Vishay_MINICAST-3Pin,4,TSSP58038,
"U26, U27, U28, U29",PinHeader_1x04_P2.54mm_Vertical,4,HC-SR04,
U9,SOT-223-3_TabPin2,1,LM1117MP-3.3,
