Designator,Mid X,Mid Y,Rotation,Layer
C1,-6.34,45.65,180.0,top
C10,22.89,26.7925,0.0,top
C11,35.51,17.85,270.0,top
C12,-48.0,-6.34,270.0,top
C13,-42.226298,19.99837,0.0,top
C14,26.79,-26.55,90.0,top
C15,17.88,-35.55,180.0,top
C16,6.34,-45.65,0.0,top
C17,28.8,-29.71,180.0,top
C18,20.44,-43.95,270.0,top
C19,-42.23,17.7,0.0,top
C2,26.55,26.7925,180.0,top
C20,6.34,-48.0,0.0,top
C21,24.55,-22.89,270.0,top
C22,17.85,-33.35,180.0,top
C23,45.65,6.34,90.0,top
C24,26.79,-22.89,270.0,top
C25,15.01,-34.78,270.0,top
C26,48.0,6.34,90.0,top
C27,-25.79,-35.06,0.0,top
C28,-35.49,-17.89,90.0,top
C29,-30.47,-28.8,90.0,top
C3,41.59,17.61,270.0,top
C30,-42.73,-20.61,180.0,top
C31,42.59,-7.6,0.0,top
C32,42.59,-9.92,0.0,top
C33,-25.83,-24.35,0.0,top
C34,-29.95,-17.85,90.0,top
C35,-25.84,-22.24,0.0,top
C36,-32.1,-17.85,90.0,top
C37,-26.79,26.55,270.0,top
C38,-17.6,47.87,0.0,top
C39,-28.8,29.7,0.0,top
C4,29.71,28.8025,270.0,top
C40,-20.44,50.34,90.0,top
C41,32.99,35.91,0.0,top
C42,35.91,-32.99,270.0,top
C43,-24.55,22.89,90.0,top
C44,-17.4,41.72,0.0,top
C45,-26.79,22.89,90.0,top
C46,-17.43,44.1,0.0,top
C47,-32.99,-35.91,180.0,top
C48,-35.91,32.99,90.0,top
C5,43.95,20.44,0.0,top
C6,-6.34,48.0,180.0,top
C7,-45.65,-6.34,270.0,top
C8,22.895,24.5525,0.0,top
C9,33.36,17.85,270.0,top
D1,31.13241,39.34798,0.0,top
D10,-31.092712,39.34798,0.0,top
D2,39.347981,31.092698,270.0,top
D3,-11.31,30.96,0.0,top
D4,-11.35,33.91,0.0,top
D5,39.347981,-31.132409,270.0,top
D6,31.092699,-39.34798,180.0,top
D7,-31.132408,-39.34798,180.0,top
D8,-39.347979,-31.092698,90.0,top
D9,-39.347979,31.132409,90.0,top
J1,0.0,25.0,0.0,top
J2,-29.62525,34.692063,180.0,bottom
J3,-28.399999,16.15,90.0,bottom
J4,8.1,0.0,270.0,top
Q1,26.48,38.38,90.0,top
Q2,35.17,31.15,180.0,top
Q3,38.38,-26.48,0.0,top
Q4,31.15,-35.17,90.0,top
Q5,-26.48,-38.38,270.0,top
Q6,-35.17,-31.15,0.0,top
Q7,-38.38,26.48,180.0,top
Q8,-32.92,36.11,270.0,top
R1,30.37,31.7125,180.0,top
R10,35.33,27.18,90.0,top
R11,31.71,-30.37,90.0,top
R12,23.28,-43.18,0.0,top
R13,33.86,-30.36,90.0,top
R14,26.43,-42.22,90.0,top
R15,-7.87,30.96,180.0,top
R16,-7.87,33.91,180.0,top
R17,35.94,-29.51,270.0,top
R18,26.45,-38.6,90.0,top
R19,32.87,-18.88,90.0,top
R2,43.18,23.28,90.0,top
R20,27.12,-33.04,0.0,top
R21,35.24,-18.88,90.0,top
R22,27.17,-35.33,0.0,top
R23,-31.13,-31.71,0.0,top
R24,-41.96,-23.45,270.0,top
R25,-31.12,-33.86,0.0,top
R26,-42.22,-26.43,0.0,top
R27,-29.51,-35.94,180.0,top
R28,-38.6,-26.45,0.0,top
R29,-22.26,-35.8,0.0,top
R3,30.36,33.8625,180.0,top
R30,-35.88,-27.64,270.0,top
R31,-22.27,-41.59,180.0,top
R32,-33.570577,-27.645722,270.0,top
R33,-31.71,30.37,270.0,top
R34,-23.28,49.58,180.0,top
R35,34.85,33.92,180.0,top
R36,33.92,-34.85,90.0,top
R37,-33.87,30.36,270.0,top
R38,-26.43,42.23,270.0,top
R39,-35.94,29.51,90.0,top
R4,42.22,26.43,180.0,top
R40,-26.45,38.59,270.0,top
R41,-32.92,18.59,270.0,top
R42,-26.71,32.45,180.0,top
R43,-35.29,18.59,270.0,top
R44,-26.76,34.75,0.0,top
R45,-34.85,-33.92,0.0,top
R46,-33.05,33.1,180.0,top
R47,50.39,-8.287689,270.0,top
R48,47.44,-8.287689,270.0,top
R5,29.51,35.9425,0.0,top
R6,38.6,26.45,180.0,top
R7,18.88,32.55,180.0,top
R8,33.04,27.12,90.0,top
R9,18.88,34.92,180.0,top
U1,0.1675,32.2075,90.0,top
U10,25.2075,-0.1675,0.0,top
U11,0.0,-48.0,0.0,top
U12,31.48,-24.7,180.0,top
U13,22.56,-32.91,180.0,top
U14,48.0,0.0,90.0,top
U15,30.574333,-9.9,0.0,top
U16,17.713211,17.713794,45.0,top
U17,17.713792,-17.713211,315.0,top
U18,-26.65,-29.19,180.0,top
U19,-32.71,-22.5625,90.0,top
U2,0.0,48.0,180.0,top
U20,37.09464848289295,37.094646517107044,135.0,top
U21,37.09464751710705,-37.09464748289295,45.0,top
U22,-31.48,24.69,0.0,top
U23,-22.5625,44.51,0.0,top
U24,-37.094646482892955,-37.094646517107044,315.0,top
U25,-37.09464551710705,37.09464748289295,225.0,top
U26,3.8e-05,36.929187,90.0,top
U27,-37.0,0.0,180.0,top
U28,-3.6e-05,-36.929187,270.0,top
U29,36.929188,-3.7e-05,0.0,top
U3,-32.2075,4.1675,180.0,top
U4,24.7,31.4825,270.0,top
U5,32.71,22.5025,270.0,top
U6,7.8325,-32.2075,270.0,top
U7,-48.0,0.0,270.0,top
U8,32.2075,-0.1675,0.0,top
U9,-48.826298,17.69837,0.0,top
